time,cpu_usage,active_workers,queue_len
0,10,1,0
10,10,1,0
20,20,2,0
30,20,2,0
40,55,3,0
50,55,3,0
60,65,4,0
70,65,4,0
80,75,5,0
90,75,5,0
100,85,6,0
110,85,6,0
120,85,6,1
130,85,6,1
140,85,6,2
150,85,6,2
160,85,6,3
170,85,6,3
180,85,6,4
190,85,6,4
200,75,5,5
210,75,5,5
220,100,5,5
230,100,5,5
240,100,5,5
250,100,5,5
260,100,5,5
270,100,5,5
280,90,4,6
290,90,4,6
300,80,3,7
310,80,3,7
320,80,3,8
330,80,3,8
340,80,3,9
350,80,3,9
360,80,3,10
370,80,3,10
380,80,3,11
390,80,3,11
400,80,3,12
410,80,3,12
420,90,4,11
430,90,4,11
440,100,5,10
450,100,5,10
460,90,4,11
470,90,4,11
480,90,4,12
490,90,4,12
500,90,4,13
510,90,4,13
520,90,4,14
530,90,4,14
540,90,4,15
550,90,4,15
560,90,4,16
570,90,4,16
580,90,4,17
590,90,4,17
600,90,4,18
610,90,4,18
620,100,5,16
630,100,5,16
640,100,5,15
650,100,5,15
660,100,5,16
670,100,5,16
680,100,5,17
690,100,5,17
700,100,5,18
710,100,5,18
720,100,5,19
730,100,5,19
740,100,5,20
750,100,5,20
760,100,5,21
770,100,5,21
780,100,5,22
790,100,5,22
800,100,5,23
810,100,5,23
820,100,5,21
830,100,5,21
840,90,4,21
850,90,4,21
860,90,4,22
870,90,4,22
880,90,4,23
890,90,4,23
900,90,4,24
910,90,4,24
920,90,4,25
930,90,4,25
940,90,4,26
950,90,4,26
960,90,4,27
970,90,4,27
980,90,4,28
990,90,4,28
1000,90,4,29
1010,90,4,29
1020,70,2,29
1030,70,2,29
1040,80,3,28
1050,80,3,28
1060,80,3,29
1070,80,3,29
1080,80,3,30
1090,80,3,30
1100,80,3,31
1110,80,3,31
1120,80,3,32
1130,80,3,32
1140,80,3,33
1150,80,3,33
1160,80,3,34
1170,80,3,34
1180,80,3,35
1190,80,3,35
1200,80,3,36
1210,80,3,36
1220,90,4,35
1230,90,4,35
1240,80,3,35
1250,80,3,35
1260,80,3,36
1270,80,3,36
1280,80,3,37
1290,80,3,37
1300,80,3,38
1310,80,3,38
1320,80,3,39
1330,80,3,39
1340,80,3,40
1350,80,3,40
1360,80,3,41
1370,80,3,41
1380,80,3,42
1390,80,3,42
1400,80,3,43
1410,80,3,43
1420,70,2,43
1430,70,2,43
1440,70,2,43
1450,70,2,43
1460,70,2,44
1470,70,2,44
1480,70,2,45
1490,70,2,45
1500,70,2,46
1510,70,2,46
1520,70,2,47
1530,70,2,47
1540,70,2,48
1550,70,2,48
1560,70,2,49
1570,70,2,49
1580,70,2,50
1590,70,2,50
1600,70,2,51
1610,70,2,51
1620,80,3,50
1630,80,3,50
1640,80,3,50
1650,80,3,50
1660,80,3,51
1670,80,3,51
1680,80,3,52
1690,80,3,52
1700,80,3,53
1710,80,3,53
1720,80,3,54
1730,80,3,54
1740,80,3,55
1750,80,3,55
1760,80,3,56
1770,80,3,56
1780,80,3,57
1790,80,3,57
1800,80,3,58
1810,80,3,58
1820,70,2,58
1830,70,2,58
1840,70,2,58
1850,70,2,58
1860,70,2,59
1870,70,2,59
1880,70,2,60
1890,70,2,60
1900,70,2,61
1910,70,2,61
1920,70,2,62
1930,70,2,62
1940,70,2,63
1950,70,2,63
1960,70,2,64
1970,70,2,64
1980,70,2,65
1990,70,2,65
2000,70,2,66
2010,70,2,66
2020,100,5,63
2030,100,5,63
2040,75,5,63
2050,75,5,63
2060,75,5,64
2070,75,5,64
2080,75,5,65
2090,75,5,65
2100,75,5,66
2110,75,5,66
2120,75,5,67
2130,75,5,67
2140,75,5,68
2150,75,5,68
2160,75,5,69
2170,75,5,69
2180,75,5,70
2190,75,5,70
2200,75,5,71
2210,75,5,71
2220,80,3,70
2230,80,3,70
2240,70,2,71
2250,70,2,71
2260,70,2,72
2270,70,2,72
2280,70,2,73
2290,70,2,73
2300,70,2,74
2310,70,2,74
2320,70,2,75
2330,70,2,75
2340,70,2,76
2350,70,2,76
2360,70,2,77
2370,70,2,77
2380,70,2,78
2390,70,2,78
2400,70,2,79
2410,70,2,79
2420,95,7,73
2430,95,7,73
2440,95,7,74
2450,95,7,74
2460,95,7,75
2470,95,7,75
2480,95,7,76
2490,95,7,76
2500,95,7,77
2510,95,7,77
2520,95,7,78
2530,95,7,78
2540,95,7,79
2550,95,7,79
2560,95,7,80
2570,95,7,80
2580,95,7,81
2590,95,7,81
2600,95,7,82
2610,95,7,82
2620,85,6,77
2630,85,6,77
2640,85,6,78
2650,85,6,78
2660,85,6,79
2670,85,6,79
2680,85,6,80
2690,85,6,80
2700,85,6,81
2710,85,6,81
2720,85,6,82
2730,85,6,82
2740,85,6,83
2750,85,6,83
2760,85,6,84
2770,85,6,84
2780,85,6,85
2790,85,6,85
2800,85,6,86
2810,85,6,86
2820,90,4,83
2830,90,4,83
2840,90,4,84
2850,90,4,84
2860,90,4,85
2870,90,4,85
2880,90,4,86
2890,90,4,86
2900,90,4,87
2910,90,4,87
2920,90,4,88
2930,90,4,88
2940,90,4,89
2950,90,4,89
2960,90,4,90
2970,90,4,90
2980,90,4,91
2990,90,4,91
3000,90,4,92
3010,90,4,92
3020,70,2,91
3030,70,2,91
3040,70,2,92
3050,70,2,92
3060,70,2,93
3070,70,2,93
3080,70,2,94
3090,70,2,94
3100,70,2,95
3110,70,2,95
3120,70,2,96
3130,70,2,96
3140,70,2,97
3150,70,2,97
3160,70,2,98
3170,70,2,98
3180,70,2,99
3190,70,2,99
3200,70,2,100
3210,70,2,100
3220,95,7,94
3230,95,7,94
3240,95,7,95
3250,95,7,95
3260,95,7,96
3270,95,7,96
3280,95,7,97
3290,95,7,97
3300,95,7,98
3310,95,7,98
3320,95,7,99
3330,95,7,99
3340,95,7,100
3350,95,7,100
3360,95,7,101
3370,95,7,101
3380,95,7,102
3390,95,7,102
3400,95,7,103
3410,95,7,103
3420,100,5,99
3430,100,5,99
3440,100,5,100
3450,100,5,100
3460,100,5,101
3470,100,5,101
3480,100,5,102
3490,100,5,102
3500,100,5,103
3510,100,5,103
3520,100,5,104
3530,100,5,104
3540,100,5,105
3550,100,5,105
3560,100,5,106
3570,100,5,106
3580,100,5,107
3590,100,5,107
3600,100,5,108
3610,100,5,108
3620,100,5,104
3630,100,5,104
3640,100,5,105
3650,100,5,105
3660,100,5,106
3670,100,5,106
3680,100,5,107
3690,100,5,107
3700,100,5,108
3710,100,5,108
3720,100,5,109
3730,100,5,109
3740,100,5,110
3750,100,5,110
3760,100,5,111
3770,100,5,111
3780,100,5,112
3790,100,5,112
3800,100,5,113
3810,100,5,113
3820,70,2,112
3830,70,2,112
3840,70,2,113
3850,70,2,113
3860,70,2,114
3870,70,2,114
3880,70,2,115
3890,70,2,115
3900,70,2,116
3910,70,2,116
3920,70,2,117
3930,70,2,117
3940,70,2,118
3950,70,2,118
3960,70,2,119
3970,70,2,119
3980,70,2,120
3990,70,2,120
4000,70,2,121
4010,70,2,121
4020,95,7,115
4030,95,7,115
4040,95,7,116
4050,95,7,116
4060,95,7,117
4070,95,7,117
4080,95,7,118
4090,95,7,118
4100,95,7,119
4110,95,7,119
4120,95,7,120
4130,95,7,120
4140,95,7,121
4150,95,7,121
4160,95,7,122
4170,95,7,122
4180,95,7,123
4190,95,7,123
4200,95,7,124
4210,95,7,124
4220,90,4,121
4230,90,4,121
4240,90,4,122
4250,90,4,122
4260,90,4,123
4270,90,4,123
4280,90,4,124
4290,90,4,124
4300,90,4,125
4310,90,4,125
4320,90,4,126
4330,90,4,126
4340,90,4,127
4350,90,4,127
4360,90,4,128
4370,90,4,128
4380,90,4,129
4390,90,4,129
4400,90,4,130
4410,90,4,130
4420,70,2,129
4430,70,2,129
4440,70,2,130
4450,70,2,130
4460,70,2,131
4470,70,2,131
4480,70,2,132
4490,70,2,132
4500,70,2,133
4510,70,2,133
4520,70,2,134
4530,70,2,134
4540,70,2,135
4550,70,2,135
4560,70,2,136
4570,70,2,136
4580,70,2,137
4590,70,2,137
4600,70,2,138
4610,70,2,138
4620,100,5,134
4630,100,5,134
4640,100,5,135
4650,100,5,135
4660,100,5,136
4670,100,5,136
4680,100,5,137
4690,100,5,137
4700,100,5,138
4710,100,5,138
4720,100,5,139
4730,100,5,139
4740,100,5,140
4750,100,5,140
4760,100,5,141
4770,100,5,141
4780,100,5,142
4790,100,5,142
4800,100,5,143
4810,100,5,143
4820,85,6,138
4830,85,6,138
4840,85,6,139
4850,85,6,139
4860,85,6,140
4870,85,6,140
4880,85,6,141
4890,85,6,141
4900,85,6,142
4910,85,6,142
4920,85,6,143
4930,85,6,143
4940,85,6,144
4950,85,6,144
4960,85,6,145
4970,85,6,145
4980,85,6,146
4990,85,6,146
5000,85,6,147
5010,85,6,147
5020,90,4,144
5030,90,4,144
5040,90,4,145
5050,90,4,145
5060,90,4,146
5070,90,4,146
5080,90,4,147
5090,90,4,147
5100,90,4,148
5110,90,4,148
5120,90,4,149
5130,90,4,149
5140,90,4,150
5150,90,4,150
5160,90,4,151
5170,90,4,151
5180,90,4,152
5190,90,4,152
5200,90,4,153
5210,90,4,153
5220,75,5,149
5230,75,5,149
5240,75,5,150
5250,75,5,150
5260,75,5,151
5270,75,5,151
5280,75,5,152
5290,75,5,152
5300,75,5,153
5310,75,5,153
5320,75,5,154
5330,75,5,154
5340,75,5,155
5350,75,5,155
5360,75,5,156
5370,75,5,156
5380,75,5,157
5390,75,5,157
5400,75,5,158
5410,75,5,158
5420,90,4,155
5430,90,4,155
5440,90,4,156
5450,90,4,156
5460,90,4,157
5470,90,4,157
5480,90,4,158
5490,90,4,158
5500,90,4,159
5510,90,4,159
5520,90,4,160
5530,90,4,160
5540,90,4,161
5550,90,4,161
5560,90,4,162
5570,90,4,162
5580,90,4,163
5590,90,4,163
5600,90,4,164
5610,90,4,164
5620,95,7,158
5630,95,7,158
5640,95,7,159
5650,95,7,159
5660,95,7,160
5670,95,7,160
5680,95,7,161
5690,95,7,161
5700,95,7,162
5710,95,7,162
5720,95,7,163
5730,95,7,163
5740,95,7,164
5750,95,7,164
5760,95,7,165
5770,95,7,165
5780,95,7,166
5790,95,7,166
5800,95,7,167
5810,95,7,167
5820,95,7,161
5830,95,7,161
5840,95,7,162
5850,95,7,162
5860,95,7,163
5870,95,7,163
5880,95,7,164
5890,95,7,164
5900,95,7,165
5910,95,7,165
5920,95,7,166
5930,95,7,166
5940,95,7,167
5950,95,7,167
5960,95,7,168
5970,95,7,168
5980,95,7,169
5990,95,7,169
6000,95,7,170
6010,95,7,170
6020,95,7,164
6030,95,7,164
6040,95,7,165
6050,95,7,165
6060,95,7,166
6070,95,7,166
6080,95,7,167
6090,95,7,167
6100,95,7,168
6110,95,7,168
6120,95,7,169
6130,95,7,169
6140,95,7,170
6150,95,7,170
6160,95,7,171
6170,95,7,171
6180,95,7,172
6190,95,7,172
6200,95,7,173
6210,95,7,173
6220,100,5,169
6230,100,5,169
6240,100,5,170
6250,100,5,170
6260,100,5,171
6270,100,5,171
6280,100,5,172
6290,100,5,172
6300,100,5,173
6310,100,5,173
6320,100,5,174
6330,100,5,174
6340,100,5,175
6350,100,5,175
6360,100,5,176
6370,100,5,176
6380,100,5,177
6390,100,5,177
6400,100,5,178
6410,100,5,178
6420,95,7,172
6430,95,7,172
6440,95,7,173
6450,95,7,173
6460,95,7,174
6470,95,7,174
6480,95,7,175
6490,95,7,175
6500,95,7,176
6510,95,7,176
6520,95,7,177
6530,95,7,177
6540,95,7,178
6550,95,7,178
6560,95,7,179
6570,95,7,179
6580,95,7,180
6590,95,7,180
6600,95,7,181
6610,95,7,181
6620,80,8,174
6630,80,8,174
6640,80,8,175
6650,80,8,175
6660,80,8,176
6670,80,8,176
6680,80,8,177
6690,80,8,177
6700,80,8,178
