time,cpu_usage,active_workers,queue_len
0,10,1,0
10,10,1,0
20,20,2,0
30,20,2,0
40,55,3,0
50,55,3,0
60,65,4,0
70,65,4,0
80,75,5,0
90,75,5,0
100,85,6,0
110,85,6,0
120,85,6,1
130,85,6,1
140,85,6,2
150,85,6,2
160,95,7,2
170,95,7,2
180,95,7,3
190,95,7,3
200,95,7,3
210,95,7,3
220,85,6,4
230,85,6,4
240,95,7,3
250,95,7,3
260,85,6,4
270,85,6,4
280,85,6,4
290,85,6,4
300,85,6,4
310,85,6,4
320,85,6,5
330,85,6,5
340,95,7,5
350,95,7,5
360,95,7,5
370,95,7,5
380,95,7,6
390,95,7,6
400,95,7,6
410,95,7,6
420,95,7,7
430,95,7,7
440,85,6,7
450,85,6,7
460,85,6,8
470,85,6,8
480,85,6,8
490,85,6,8
500,75,5,9
510,75,5,9
520,85,6,9
530,85,6,9
540,75,5,10
550,75,5,10
560,100,5,10
570,100,5,10
580,100,5,11
590,100,5,11
600,90,4,12
610,90,4,12
620,100,5,12
630,100,5,12
640,100,5,12
650,100,5,12
660,100,5,13
670,100,5,13
680,90,4,14
690,90,4,14
700,90,4,15
710,90,4,15
720,90,4,15
730,90,4,15
740,100,5,15
750,100,5,15
760,100,5,15
770,100,5,15
780,100,5,16
790,100,5,16
800,100,5,17
810,100,5,17
820,100,5,17
830,100,5,17
840,100,5,17
850,100,5,17
860,100,5,18
870,100,5,18
880,100,5,19
890,100,5,19
900,100,5,20
910,100,5,20
920,100,5,20
930,100,5,20
940,100,5,20
950,100,5,20
960,100,5,20
970,100,5,20
980,100,5,21
990,100,5,21
1000,100,5,22
1010,100,5,22
1020,100,5,22
1030,100,5,22
1040,100,5,22
1050,100,5,22
1060,100,5,23
1070,100,5,23
1080,100,5,24
1090,100,5,24
1100,100,5,25
1110,100,5,25
1120,100,5,25
1130,100,5,25
1140,100,5,25
1150,100,5,25
1160,100,5,25
1170,100,5,25
1180,100,5,26
1190,100,5,26
1200,100,5,27
1210,100,5,27
1220,100,5,27
1230,100,5,27
1240,100,5,27
1250,100,5,27
1260,100,5,28
1270,100,5,28
1280,100,5,29
1290,100,5,29
1300,100,5,30
1310,100,5,30
1320,100,5,30
1330,100,5,30
1340,100,5,30
1350,100,5,30
1360,100,5,30
1370,100,5,30
1380,100,5,31
1390,100,5,31
1400,100,5,32
1410,100,5,32
1420,100,5,32
1430,100,5,32
1440,100,5,32
1450,100,5,32
1460,100,5,33
1470,100,5,33
1480,100,5,34
1490,100,5,34
1500,100,5,35
1510,100,5,35
1520,100,5,35
1530,100,5,35
1540,100,5,35
1550,100,5,35
1560,100,5,35
1570,100,5,35
1580,100,5,36
1590,100,5,36
1600,100,5,37
1610,100,5,37
1620,100,5,37
1630,100,5,37
1640,100,5,37
1650,100,5,37
1660,100,5,38
1670,100,5,38
1680,100,5,39
1690,100,5,39
1700,100,5,40
1710,100,5,40
1720,100,5,40
1730,100,5,40
1740,100,5,40
1750,100,5,40
1760,100,5,40
1770,100,5,40
1780,100,5,41
1790,100,5,41
1800,100,5,42
1810,100,5,42
1820,100,5,42
1830,100,5,42
1840,100,5,42
1850,100,5,42
1860,100,5,43
1870,100,5,43
1880,100,5,44
1890,100,5,44
1900,100,5,45
1910,100,5,45
1920,100,5,45
1930,100,5,45
1940,100,5,45
1950,100,5,45
1960,100,5,45
1970,100,5,45
1980,100,5,46
1990,100,5,46
2000,100,5,47
2010,100,5,47
2020,100,5,47
2030,100,5,47
2040,100,5,47
2050,100,5,47
2060,100,5,48
2070,100,5,48
2080,100,5,49
2090,100,5,49
2100,100,5,50
2110,100,5,50
2120,100,5,50
2130,100,5,50
2140,100,5,50
2150,100,5,50
2160,100,5,50
2170,100,5,50
2180,100,5,51
2190,100,5,51
2200,100,5,52
2210,100,5,52
2220,100,5,52
2230,100,5,52
2240,100,5,52
2250,100,5,52
2260,100,5,53
2270,100,5,53
2280,100,5,54
2290,100,5,54
2300,100,5,55
2310,100,5,55
2320,100,5,55
2330,100,5,55
2340,100,5,55
2350,100,5,55
2360,100,5,55
2370,100,5,55
2380,100,5,56
2390,100,5,56
2400,100,5,57
2410,100,5,57
2420,100,5,57
2430,100,5,57
2440,100,5,57
2450,100,5,57
2460,100,5,58
2470,100,5,58
2480,100,5,59
2490,100,5,59
2500,100,5,60
2510,100,5,60
2520,100,5,60
2530,100,5,60
2540,100,5,60
2550,100,5,60
2560,100,5,60
2570,100,5,60
2580,100,5,61
2590,100,5,61
2600,100,5,62
2610,100,5,62
2620,100,5,62
2630,100,5,62
2640,100,5,62
2650,100,5,62
2660,100,5,63
2670,100,5,63
2680,100,5,64
2690,100,5,64
2700,100,5,65
2710,100,5,65
2720,100,5,65
2730,100,5,65
2740,100,5,65
2750,100,5,65
2760,100,5,65
2770,100,5,65
2780,100,5,66
2790,100,5,66
2800,100,5,67
2810,100,5,67
2820,100,5,67
2830,100,5,67
2840,100,5,67
2850,100,5,67
2860,100,5,68
2870,100,5,68
2880,100,5,69
2890,100,5,69
2900,100,5,70
2910,100,5,70
2920,100,5,70
2930,100,5,70
2940,100,5,70
2950,100,5,70
2960,100,5,70
2970,100,5,70
2980,100,5,71
2990,100,5,71
3000,100,5,72
3010,100,5,72
3020,100,5,72
3030,100,5,72
3040,100,5,72
3050,100,5,72
3060,100,5,73
3070,100,5,73
3080,100,5,74
3090,100,5,74
3100,100,5,75
3110,100,5,75
3120,100,5,75
3130,100,5,75
3140,100,5,75
3150,100,5,75
3160,100,5,75
3170,100,5,75
3180,100,5,76
3190,100,5,76
3200,100,5,77
3210,100,5,77
3220,100,5,77
3230,100,5,77
3240,100,5,77
3250,100,5,77
3260,100,5,78
3270,100,5,78
3280,100,5,79
3290,100,5,79
3300,100,5,80
3310,100,5,80
3320,100,5,80
3330,100,5,80
3340,100,5,80
3350,100,5,80
3360,100,5,80
3370,100,5,80
3380,100,5,81
3390,100,5,81
3400,100,5,82
3410,100,5,82
3420,100,5,82
3430,100,5,82
3440,100,5,82
3450,100,5,82
3460,100,5,83
3470,100,5,83
3480,100,5,84
3490,100,5,84
3500,100,5,85
3510,100,5,85
3520,100,5,85
3530,100,5,85
3540,100,5,85
3550,100,5,85
3560,100,5,85
3570,100,5,85
3580,100,5,86
3590,100,5,86
3600,100,5,87
3610,100,5,87
3620,100,5,87
3630,100,5,87
3640,100,5,87
3650,100,5,87
3660,100,5,88
3670,100,5,88
3680,100,5,89
3690,100,5,89
3700,100,5,90
3710,100,5,90
3720,100,5,90
3730,100,5,90
3740,100,5,90
3750,100,5,90
3760,100,5,90
3770,100,5,90
3780,100,5,91
3790,100,5,91
3800,100,5,92
3810,100,5,92
3820,100,5,92
3830,100,5,92
3840,100,5,92
3850,100,5,92
3860,100,5,93
3870,100,5,93
3880,100,5,94
3890,100,5,94
3900,100,5,95
3910,100,5,95
3920,100,5,95
3930,100,5,95
3940,100,5,95
3950,100,5,95
3960,100,5,95
3970,100,5,95
3980,100,5,96
3990,100,5,96
4000,100,5,97
4010,100,5,97
4020,100,5,97
4030,100,5,97
4040,100,5,97
4050,100,5,97
4060,100,5,98
4070,100,5,98
4080,100,5,99
4090,100,5,99
4100,100,5,100
4110,100,5,100
4120,100,5,100
4130,100,5,100
4140,100,5,100
4150,100,5,100
4160,100,5,100
4170,100,5,100
4180,100,5,101
4190,100,5,101
4200,100,5,102
4210,100,5,102
4220,100,5,102
4230,100,5,102
4240,100,5,102
4250,100,5,102
4260,100,5,103
4270,100,5,103
4280,100,5,104
4290,100,5,104
4300,100,5,105
4310,100,5,105
4320,100,5,105
4330,100,5,105
4340,100,5,105
4350,100,5,105
4360,100,5,105
4370,100,5,105
4380,100,5,106
4390,100,5,106
4400,100,5,107
4410,100,5,107
4420,100,5,107
4430,100,5,107
4440,100,5,107
4450,100,5,107
4460,100,5,108
4470,100,5,108
4480,100,5,109
4490,100,5,109
4500,100,5,110
4510,100,5,110
4520,100,5,110
4530,100,5,110
4540,100,5,110
4550,100,5,110
4560,100,5,110
4570,100,5,110
4580,100,5,111
4590,100,5,111
4600,100,5,112
4610,100,5,112
4620,100,5,112
4630,100,5,112
4640,100,5,112
4650,100,5,112
4660,100,5,113
4670,100,5,113
4680,100,5,114
4690,100,5,114
4700,100,5,115
4710,100,5,115
4720,100,5,115
4730,100,5,115
4740,100,5,115
4750,100,5,115
4760,100,5,115
4770,100,5,115
4780,100,5,116
4790,100,5,116
4800,100,5,117
4810,100,5,117
4820,100,5,117
4830,100,5,117
4840,100,5,117
4850,100,5,117
4860,100,5,118
4870,100,5,118
4880,100,5,119
4890,100,5,119
4900,100,5,120
4910,100,5,120
4920,100,5,120
4930,100,5,120
4940,100,5,120
4950,100,5,120
4960,100,5,120
4970,100,5,120
4980,100,5,121
4990,100,5,121
5000,100,5,122
5010,100,5,122
5020,100,5,122
5030,100,5,122
5040,100,5,122
5050,100,5,122
5060,100,5,123
5070,100,5,123
5080,100,5,124
5090,100,5,124
5100,100,5,125
5110,100,5,125
5120,100,5,125
5130,100,5,125
5140,100,5,125
5150,100,5,125
5160,100,5,125
5170,100,5,125
5180,100,5,126
5190,100,5,126
5200,100,5,127
5210,100,5,127
5220,100,5,127
5230,100,5,127
5240,100,5,127
5250,100,5,127
5260,100,5,128
5270,100,5,128
5280,100,5,129
5290,100,5,129
5300,100,5,130
5310,100,5,130
5320,100,5,130
5330,100,5,130
5340,100,5,130
5350,100,5,130
5360,100,5,130
5370,100,5,130
5380,100,5,131
5390,100,5,131
5400,100,5,132
5410,100,5,132
5420,100,5,132
5430,100,5,132
5440,100,5,132
5450,100,5,132
5460,100,5,133
5470,100,5,133
5480,100,5,134
5490,100,5,134
5500,100,5,135
5510,100,5,135
5520,100,5,135
5530,100,5,135
5540,100,5,135
5550,100,5,135
5560,100,5,135
5570,100,5,135
5580,100,5,136
5590,100,5,136
5600,100,5,137
5610,100,5,137
5620,100,5,137
5630,100,5,137
5640,100,5,137
5650,100,5,137
5660,100,5,138
5670,100,5,138
5680,100,5,139
5690,100,5,139
5700,100,5,140
5710,100,5,140
5720,100,5,140
5730,100,5,140
5740,100,5,140
5750,100,5,140
5760,100,5,140
5770,100,5,140
5780,100,5,141
5790,100,5,141
5800,100,5,142
5810,100,5,142
5820,100,5,142
5830,100,5,142
5840,100,5,142
5850,100,5,142
5860,100,5,143
5870,100,5,143
5880,100,5,144
5890,100,5,144
5900,100,5,145
5910,100,5,145
5920,100,5,145
5930,100,5,145
5940,100,5,145
5950,100,5,145
5960,100,5,145
5970,100,5,145
5980,100,5,146
5990,100,5,146
6000,100,5,147
6010,100,5,147
6020,100,5,147
6030,100,5,147
6040,100,5,147
6050,100,5,147
6060,100,5,148
6070,100,5,148
6080,100,5,149
6090,100,5,149
6100,100,5,150
6110,100,5,150
6120,100,5,150
6130,100,5,150
6140,100,5,150
6150,100,5,150
6160,100,5,150
6170,100,5,150
6180,100,5,151
6190,100,5,151
6200,100,5,152
6210,100,5,152
6220,100,5,152
6230,100,5,152
6240,100,5,152
6250,100,5,152
6260,100,5,153
6270,100,5,153
6280,100,5,154
6290,100,5,154
6300,100,5,155
6310,100,5,155
6320,100,5,155
6330,100,5,155
6340,100,5,155
6350,100,5,155
6360,100,5,155
6370,100,5,155
6380,100,5,156
6390,100,5,156
6400,100,5,157
6410,100,5,157
6420,100,5,157
6430,100,5,157
6440,100,5,157
6450,100,5,157
6460,100,5,158
6470,100,5,158
6480,100,5,159
6490,100,5,159
6500,100,5,160
6510,100,5,160
6520,100,5,160
6530,100,5,160
6540,100,5,160
6550,100,5,160
6560,100,5,160
6570,100,5,160
6580,100,5,161
6590,100,5,161
6600,100,5,162
6610,100,5,162
6620,100,5,162
6630,100,5,162
6640,100,5,162
6650,100,5,162
6660,100,5,163
6670,100,5,163
6680,100,5,164
6690,100,5,164
6700,100,5,165
